time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1635552000,77440.47,75004.25,77344.69,3736.98,285110945.8,76887.79,direct,
1635638400,77498.96,74113.91,76887.79,3292.04,249097523.5,76160.74,direct,
1635724800,77582.19,73464.98,76160.74,4042.67,306301606.5,75189.22,direct,
1635811200,80046.08,74869.73,75189.22,3070.36,238611412.7,78673.34,direct,
1635897600,79056.13,74875.52,78673.34,4147.97,323015496.3,78051.33,direct,
1635984000,78291.48,75455.43,78051.33,3009.87,231369190.4,76698.03,direct,
1636070400,78243.17,75412.51,76698.03,4222.31,323253221.9,75735.38,direct,
1636156800,76899.22,74672.88,75735.38,3641.76,277049049.6,76342.33,direct,
1636243200,79008.55,76183.57,76342.33,3663.25,283399974.7,78553.37,direct,
1636329600,84517.82,78553.37,78553.37,4549.32,372711080.6,83762.71,direct,
1636416000,85551.96,82281.77,83762.71,2574.31,216116053.6,82964.7,direct,
1636502400,85805.64,78425.57,82964.7,3325.9,276050932,81294.31,direct,
1636588800,82541,79889.19,81294.31,2504.95,203885791.3,81812.05,direct,
1636675200,82662.73,77992.17,81812.05,3446.16,278320807.1,80732.43,direct,
1636761600,81712.25,79305.22,80732.43,4005.33,321783621.1,80557.8,direct,
1636848000,82385.19,79571.62,80557.8,2559.86,207107184.8,81921.98,direct,
1636934400,83328.36,79112.53,81921.98,4395.54,357582307.8,79311.62,direct,
1637020800,79759.37,73184.5,79311.62,3185.17,242263208.7,75442.53,direct,
1637107200,76285.72,72946.87,75442.53,3558.31,266488099.4,75300.41,direct,
1637193600,76845.56,70995.24,75300.41,3337.16,248192631.2,71974.05,direct,
1637280000,73948.26,69901.04,71974.05,3677.06,265406284.6,73194.51,direct,
1637366400,75858.68,72419.96,73194.51,2508.62,186229284.1,75723.31,direct,
1637452800,76051.9,73721.95,75723.31,2448.95,183010835,73913.16,direct,
1637539200,75313.69,70096.71,73913.16,2907.63,210286745.2,70883.18,direct,
1637625600,73330.69,69837.86,70883.18,2896.65,208261797.8,72501.76,direct,
1637712000,73254.38,70440.18,72501.76,3768.73,270501611.3,72161.01,direct,
1637798400,75346.96,71974.53,72161.01,2526.34,186532687.2,74816.01,direct,
1637884800,75147.77,68210.88,74816.01,2774.94,197158960.9,68885.59,direct,
1637971200,70889.27,68455.86,68885.59,2555.74,178801946.5,70238.55,direct,
1638057600,73373.86,68129.17,70238.55,3177.8,222015024.7,72786.73,direct,
1638144000,75321.36,72132.39,72786.73,3050.01,224094000.4,73456.78,direct,
1638230400,75713.18,71396.36,73456.78,2793,204595963.8,72854.82,direct,
1638316800,75506.73,72056.57,72854.82,2793.44,205310402.1,73127.63,direct,
1638403200,73719.52,71336.06,73127.63,3049.95,221296663.6,72597.61,direct,
1638489600,73795.03,66284.18,72597.61,3917.27,280088829.3,69129.44,direct,
1638576000,69354.09,53883.71,69129.44,3873.55,241484564.9,63072.37,direct,
1638662400,64004.92,61249.81,63072.37,2984.4,188023727.6,63494.06,direct,
1638748800,65087.93,60302.17,63494.06,4388.48,274323233.1,64404.14,direct,
1638835200,65836.07,63152.92,64404.14,4741.44,307090399.5,63855.96,direct,
1638921600,64806.54,61325.9,63855.96,3412.27,216871541.2,63731.2,direct,
1639008000,64417.12,60060.82,63731.2,4557.58,284134527.4,60612.41,direct,
1639094400,63613.79,59587.05,60612.41,5543.4,339958326.5,59852.57,direct,
1639180800,63137.21,59359.14,59852.57,1830.87,112945889.9,62983.93,direct,
1639267200,64782.12,61800.27,62983.93,3787.58,238383261.2,63582.37,direct,
1639353600,63978.76,58492.84,63582.37,4642.88,285022545.5,59936.73,direct,
1639440000,62717.46,59209.99,59936.73,3874.17,234586662.6,62348.13,direct,
1639526400,63705.07,59957.3,62348.13,4037.22,250076864,62857.11,direct,
1639612800,63330.12,60572.73,62857.11,3133.99,195228965.3,60755.16,direct,
1639699200,61529.42,58313.91,60755.16,4096.66,247434826.6,59684.29,direct,
1639785600,61155.13,58552.88,59684.29,3366.64,202492959.4,60236.94,direct,
1639872000,62437.33,59720.02,60236.94,3699.28,224855904.5,60080.02,direct,
1639958400,61647.06,58802.16,60080.02,4236.81,254444738.7,60779.69,direct,
1640044800,63896.21,60216.05,60779.69,4291.43,268577423.2,63331.17,direct,
1640131200,64157.28,62213.97,63331.17,4229.39,266942844.4,62591.6,direct,
1640217600,65978.62,61510.78,62591.6,4485.27,282574632.9,64994.9,direct,
1640304000,66607.23,64456.64,64994.9,3139,205336697.4,65209.73,direct,
1640390400,65672.8,64105.78,65209.73,3350.74,218076699.1,64394.18,direct,
1640476800,65830.27,63145.56,64394.18,4547.51,292019954.6,65216.25,direct,
1640563200,66706.05,64511.13,65216.25,3692.25,241793855.5,64984.43,direct,
1640649600,64998.01,60521.27,64984.43,3700.56,231837664,61054,direct,
1640736000,61807.76,58819.86,61054,3963.36,241566304.9,59531.55,direct,
1640822400,61294.4,58637.08,59531.55,3737.82,224925839.4,59937.84,direct,
1640908800,61966.03,57567.13,59937.84,3638.83,217998382.3,58571.43,direct,
1640995200,60728.9,58355.63,58571.43,4458.05,265602671.6,60487.33,direct,
1641081600,60758.59,58860.21,60487.33,3546.05,211755347.6,59995.07,direct,
1641168000,60464.22,58158.24,59995.07,4259.27,253524068.1,59331.8,direct,
1641254400,60501.41,57777.74,59331.8,4063.5,240062778.8,58337.03,direct,
1641340800,59401.1,53991.65,58337.03,963.23,56377919.25,55385.55,direct,
1641427200,55763.75,54131.9,55385.55,79.07,4330894.01,54919.29,direct,
1641513600,54919.29,51704.67,54919.29,70.88,3764023.13,52455.5,direct,
1641600000,53306.71,50928.89,52455.5,78.6,4096787.58,52481.24,direct,
1641686400,53553.83,51604.65,52481.24,61.74,3237479.61,52683.4,direct,
1641772800,53163.92,50048.73,52683.4,101.34,5287369.14,52835.75,direct,
1641859200,54279.77,52229.17,52835.75,51.24,2725851.54,53744.56,direct,
1641945600,55421.2,53341.77,53744.56,65.72,3578758.46,54975.38,direct,
1642032000,55393.87,52902.79,54975.38,55.65,3010472.71,53220.5,direct,
1642118400,54495.61,52296.47,53220.5,45.39,2432183,54098.95,direct,
1642204800,54946.8,53484.1,54098.95,22.5,1219528.13,54164.62,direct,
1642291200,54665.77,51808.75,54258.74,764.94,41432379.49,54164.22,invert_divide,ETH
1642377600,54169.58,52061.94,54088.55,39.97,2122868.43,52879.21,direct,
1642464000,53314.51,51729.55,52879.21,44.87,2350143.18,53006.52,direct,
1642550400,53161.69,51542.16,53006.52,38.04,1990249.8,52198.99,direct,
1642636800,54183.66,50771.3,52198.99,50.85,2677633.41,50822.65,direct,
1642723200,51383.16,44637.95,50822.65,138.07,6629253,45718.41,direct,
1642809600,46106.62,42881.17,45718.41,101.26,4492636.36,44008.29,direct,
1642896000,45829.76,43568.83,44008.29,47.34,2111642.29,45529.91,direct,
1642982400,47469.59,41577.52,45529.91,195.95,8723692.85,46106.32,direct,
1643068800,47478.24,45081.61,46106.32,120.65,5599255.97,46618.36,direct,
1643155200,48930.68,45982.29,46618.36,82.72,3926541.8,46624.27,direct,
1643241600,47394.5,45127.85,46624.27,90.25,4186550.97,47360.57,direct,
1643328000,48504.13,46270.81,47360.57,52.32,2470800.03,48239.54,direct,
1643414400,49451.62,47694.88,48239.54,50.26,2430004.22,48680.82,direct,
1643500800,48929.83,47774.95,48680.82,26.44,1282767.09,48422.88,direct,
1643587200,49210.36,46802.65,48422.88,36.93,1774310.57,48850.17,direct,
1643673600,49726.17,48286.15,48850.17,63.68,3121542.09,49220.48,direct,
1643760000,49315.77,46418.56,49220.48,112.99,5424804.76,46904.84,direct,
1643846400,47317.21,46095.83,46904.84,44.91,2095622.64,47261.64,direct,
1643932800,53210.84,47019.4,47261.64,94.62,4720569.68,53145.93,direct,
1644019200,53465.11,52294.32,53145.93,49.1,2603314.01,52870.59,direct,
1644105600,54323.58,52677.09,52870.59,31.47,1674200.23,54090.29,direct,
